
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 동대문구 전농동","597-5","0597","0005","리베르떼","19.7400","202605","04","17,900","-","10","개인","개인","2019","왕산로 250","-","중개거래","서울 동대문구","-"
"2","서울특별시 서대문구 홍제동","471","0471","0000","금호어울림","84.4965","202605","04","70,000","-","11","개인","개인","2016","모래내로 411","-","직거래","-","-"
"3","서울특별시 서대문구 홍은동","453-2","0453","0002","풍림2","107.2000","202605","04","77,500","-","8","개인","개인","1990","세검정로1길 35","-","직거래","-","-"
"4","서울특별시 양천구 신정동","1293","1293","0000","학마을1단지","49.9900","202605","04","47,000","-","11","개인","개인","2000","신정로14길 6","-","중개거래","서울 양천구","-"
"5","서울특별시 노원구 월계동","925","0925","0000","대동","59.7600","202605","04","35,000","-","6","개인","개인","1997","광운로 46","-","직거래","-","-"
"6","서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","92.1300","202605","04","281,000","-","8","개인","개인","1975","국제금융로7길 27","-","중개거래","서울 영등포구","-"
"7","서울특별시 구로구 고척동","336","0336","0000","삼환로즈빌","84.9940","202605","04","95,000","-","20","개인","개인","2004","경인로 343","-","중개거래","서울 구로구","-"
"8","서울특별시 은평구 응암동","117-54","0117","0054","삼흥리치","59.2600","202605","03","51,500","-","4","개인","개인","2016","응암로 279","-","중개거래","서울 은평구","-"
"9","서울특별시 은평구 응암동","760","0760","0000","백련산힐스테이트2차","84.4900","202605","02","88,000","-","14","개인","개인","2011","백련산로 38","-","중개거래","서울 강서구, 서울 은평구","-"
"10","서울특별시 은평구 수색동","417","0417","0000","DMC롯데캐슬더퍼스트","59.9600","202605","02","114,900","-","17","개인","개인","2021","수색로 300","-","중개거래","서울 은평구","-"
"11","서울특별시 강남구 대치동","889-74","0889","0074","아름빌(889-74)","30.4600","202605","02","24,000","-","5","개인","개인","2003","선릉로86길 11","-","중개거래","서울 강남구","-"
"12","서울특별시 양천구 신정동","1283","1283","0000","푸른마을3","59.9100","202605","02","68,000","-","3","개인","개인","2001","신정로11길 63","-","중개거래","서울 양천구","-"
"13","서울특별시 관악구 신림동","1703-1","1703","0001","LIG대학마을(건영아파트3차)","69.1700","202605","02","61,500","-","13","개인","개인","1996","신림로3길 40","-","중개거래","서울 관악구","-"
"14","서울특별시 관악구 신림동","1735","1735","0000","관악산휴먼시아2단지","114.7000","202605","01","84,000","-","12","개인","개인","2008","난곡로 55","-","중개거래","서울 관악구","-"
"15","서울특별시 관악구 봉천동","1717","1717","0000","관악푸르지오","59.5800","202605","01","113,500","-","3","개인","개인","2004","관악로30길 27","-","중개거래","서울 관악구","-"
"16","서울특별시 은평구 불광동","641","0641","0000","북한산현대힐스테이트3차아파트","59.9900","202605","01","86,000","-","13","개인","개인","2010","불광로 122-10","-","중개거래","서울 은평구","-"
"17","서울특별시 은평구 진관동","25","0025","0000","구파발9단지래미안(916~928동)BL3-2","166.7500","202605","01","114,000","-","5","개인","개인","2010","진관3로 77","-","중개거래","서울 은평구","-"
"18","서울특별시 노원구 상계동","765","0765","0000","상계주공1(고층)","58.0100","202605","01","62,000","-","12","개인","개인","1988","동일로213길 21","-","중개거래","서울 노원구","-"
"19","서울특별시 구로구 고척동","227-1","0227","0001","한성","64.8000","202605","01","32,500","-","1","개인","개인","1989","중앙로15길 132-60","-","중개거래","서울 구로구","-"
"20","서울특별시 중랑구 묵동","381","0381","0000","신안1","84.9900","202605","01","71,300","-","6","개인","개인","1999","공릉로2라길 15","-","중개거래","서울 중랑구","-"
"21","서울특별시 동대문구 용두동","779","0779","0000","신동아","84.6300","202605","01","100,000","-","3","개인","개인","1994","무학로26길 30","-","중개거래","서울 동대문구","-"
"22","서울특별시 중구 묵정동","35","0035","0000","힐스테이트남산","38.9500","202605","01","78,000","-","8","개인","개인","2024","퇴계로46길 26","-","중개거래","서울 중구","-"
"23","서울특별시 성동구 행당동","344","0344","0000","신동아","59.9700","202605","01","136,000","-","2","개인","개인","1995","독서당로 441","-","중개거래","서울 성동구","-"
"24","서울특별시 강서구 화곡동","938-25","0938","0025","성재","62.4100","202605","01","30,500","-","7","개인","개인","2002","곰달래로 64","-","중개거래","서울 양천구","-"
"25","서울특별시 양천구 신월동","18-17","0018","0017","수명산태승훼미리","84.3300","202605","01","60,000","-","10","개인","개인","2002","월정로 262","-","중개거래","서울 강서구, 서울 양천구","-"
"26","서울특별시 강남구 개포동","649","0649","0000","경남2차","182.2000","202605","01","497,000","-","14","개인","개인","1984","언주로 110","-","중개거래","서울 강남구","-"
"27","서울특별시 강남구 청담동","10","0010","0000","삼환(101동)","84.9800","202605","01","220,000","-","3","개인","개인","1999","학동로77길 49","-","중개거래","서울 강남구, 서울 송파구","-"
"28","서울특별시 강남구 수서동","746","0746","0000","까치마을","49.5000","202604","30","190,000","-","15","개인","개인","1993","광평로19길 10","-","중개거래","서울 강남구","-"
"29","서울특별시 은평구 응암동","739","0739","0000","응암동금호","59.7300","202604","30","66,500","-","10","개인","개인","1998","응암로 318","-","중개거래","서울 은평구","-"
"30","서울특별시 은평구 대조동","179-16","0179","0016","북한산포레스트","19.0800","202604","30","19,000","-","4","개인","개인","2021","서오릉로 80","-","중개거래","서울 동대문구","-"
"31","서울특별시 노원구 상계동","666","0666","0000","상계주공10(고층)","59.3900","202604","30","44,000","-","7","개인","개인","1988","노원로 564","-","직거래","-","-"
"32","서울특별시 관악구 봉천동","867-12","0867","0012","프라비다2","19.6100","202604","30","17,000","-","8","개인","개인","2013","남부순환로218길 37","-","직거래","-","-"
"33","서울특별시 관악구 신림동","1703-1","1703","0001","LIG대학마을(건영아파트3차)","84.8200","202604","30","69,500","-","5","개인","개인","1996","신림로3길 40","-","중개거래","서울 관악구","-"
"34","서울특별시 관악구 봉천동","1703","1703","0000","봉천동아","59.7600","202604","30","104,500","-","6","개인","개인","2000","관악로 285","-","중개거래","서울 관악구","-"
"35","서울특별시 동작구 흑석동","343","0343","0000","흑석리버파크자이","59.7600","202604","30","210,000","-","4","개인","개인","2025","서달로 90","-","중개거래","서울 동작구","-"
"36","서울특별시 관악구 봉천동","1591-2","1591","0002","서울대입구삼성","59.7800","202604","30","75,500","-","4","개인","개인","1999","관악로 125","-","중개거래","서울 관악구, 서울 동작구","-"
"37","서울특별시 영등포구 여의도동","41","0041","0000","대교","151.7400","202604","30","418,850","-","9","법인","개인","1979","국제금융로7길 20","-","직거래","-","-"
"38","서울특별시 양천구 신정동","1322","1322","0000","이펜하우스2단지","84.5100","202604","30","73,700","-","2","개인","개인","2011","신정이펜2로 55","-","중개거래","서울 양천구","-"
"39","서울특별시 강서구 염창동","290","0290","0000","벽산늘푸른","84.9400","202604","30","92,000","-","12","개인","개인","1998","양천로63길 52","-","중개거래","서울 강서구","-"
"40","서울특별시 양천구 신월동","350-2","0350","0002","신안파크","60.2000","202604","30","37,400","-","2","개인","개인","1988","지양로15길 20","-","중개거래","서울 관악구, 서울 양천구","-"
"41","서울특별시 양천구 신월동","1075","1075","0000","목동센트럴아이파크위브1단지","84.9600","202604","30","136,000","-","18","개인","개인","2020","남부순환로83길 17","-","중개거래","서울 양천구","-"
"42","서울특별시 마포구 신수동","459","0459","0000","밤섬경남아너스빌","84.8300","202604","30","165,500","-","8","개인","개인","2009","독막로28길 10","-","중개거래","서울 마포구","-"
"43","서울특별시 강서구 화곡동","361-1","0361","0001","대림e편한세상","84.8400","202604","30","71,000","-","11","개인","개인","1992","월정로 160","-","중개거래","서울 양천구","-"
"44","서울특별시 양천구 신정동","743-2","0743","0002","신정6현대","84.6000","202604","30","86,000","-","1","개인","개인","2000","신정로 170","-","중개거래","서울 양천구","-"
"45","서울특별시 양천구 신월동","1039","1039","0000","신월2차보람쉬움","59.4300","202604","30","53,000","-","8","개인","개인","2005","오목로1길 46","-","중개거래","서울 양천구","-"
"46","서울특별시 강서구 화곡동","899-2","0899","0002","세림","21.6400","202604","30","16,500","-","11","개인","개인","2015","곰달래로24길 4","-","중개거래","서울 강서구","-"
"47","서울특별시 양천구 목동","713-5","0713","0005","상진지오벨리","84.8000","202604","30","63,500","-","5","개인","개인","2004","목동중앙남로3가길 127","-","중개거래","서울 양천구, 서울 영등포구","-"
"48","서울특별시 도봉구 창동","45","0045","0000","삼성래미안","84.8700","202604","30","91,000","-","8","개인","개인","1992","노해로66길 21","-","중개거래","서울 도봉구","-"
"49","서울특별시 도봉구 창동","26","0026","0000","동아","89.4500","202604","30","96,500","-","3","개인","개인","1988","노해로70길 12","-","중개거래","서울 도봉구","-"
"50","서울특별시 종로구 창신동","232","0232","0000","두산","59.9500","202604","30","56,700","103","2","개인","개인","1999","지봉로5길 7","-","직거래","-","26.04.30"
"51","서울특별시 광진구 구의동","671","0671","0000","구의자이르네","73.6556","202604","30","124,000","-","9","개인","개인","2021","광나루로39길 11","-","중개거래","서울 광진구","-"
"52","서울특별시 성동구 금호동1가","1500","1500","0000","금호삼성래미안","114.6700","202604","30","175,000","-","6","개인","개인","2001","독서당로 343","-","중개거래","서울 성동구","-"
"53","서울특별시 성동구 금호동4가","1555","1555","0000","서울숲르씨엘","59.5075","202604","30","142,000","-","7","개인","개인","2023","독서당로46길 34","-","중개거래","서울 성동구","-"
"54","서울특별시 동대문구 제기동","1212","1212","0000","한신아파트","84.7600","202604","29","111,000","-","3","개인","개인","2004","고산자로 534","-","중개거래","서울 동대문구","-"
"55","서울특별시 광진구 화양동","530","0530","0000","씨즈건대힐스","14.2300","202604","29","14,800","-","5","개인","개인","2017","광나루로20길 17","-","중개거래","서울 광진구","-"
"56","서울특별시 동대문구 제기동","153","0153","0000","안암골벽산","59.9400","202604","29","89,900","-","5","개인","개인","2003","약령시로 25","-","중개거래","서울 동대문구","-"
"57","서울특별시 관악구 봉천동","1000","1000","0000","현대(관악)","58.5900","202604","29","98,000","-","15","개인","개인","1992","관악로40길 60","-","중개거래","서울 관악구","-"
"58","서울특별시 동작구 상도동","407","0407","0000","현대(관악)","84.7800","202604","29","115,000","-","3","개인","개인","1992","상도로 421","-","중개거래","서울 관악구","-"
"59","서울특별시 서초구 방배동","772-13","0772","0013","현대멤피스","133.3100","202604","29","221,500","-","6","개인","개인","2001","방배로 239","-","직거래","-","-"
"60","서울특별시 동작구 신대방동","707","0707","0000","현대","84.5700","202604","29","92,600","-","3","개인","개인","1996","여의대방로 28","-","직거래","-","-"
"61","서울특별시 영등포구 대림동","717","0717","0000","쌍용플래티넘S","18.2400","202604","29","9,300","-","2","개인","개인","2013","대림로29길 13","-","직거래","-","-"
"62","서울특별시 관악구 남현동","1059-1","1059","0001","르메이르강남타운1","132.3600","202604","29","99,800","-","11","개인","개인","2002","남부순환로 2068","-","중개거래","경기 파주시","-"
"63","서울특별시 송파구 삼전동","39","0039","0000","현대1","80.0100","202604","29","147,000","-","3","개인","개인","1989","백제고분로22길 39","-","중개거래","서울 송파구","-"
"64","서울특별시 강남구 세곡동","533","0533","0000","세곡푸르지오","84.9500","202604","29","195,000","-","11","개인","개인","2012","자곡로 21","-","중개거래","서울 강남구","-"
"65","서울특별시 중랑구 신내동","783","0783","0000","성원","84.3200","202604","29","69,900","-","6","개인","개인","1994","신내로 51","-","중개거래","경기 구리시, 서울 중랑구","-"
"66","서울특별시 중랑구 묵동","13","0013","0000","신내","59.7600","202604","29","59,500","-","3","개인","개인","1996","숙선옹주로 91","-","중개거래","서울 중랑구","-"
"67","서울특별시 성북구 정릉동","1021","1021","0000","대우","43.1100","202604","29","36,000","-","18","개인","개인","2001","보국문로30길 15","-","중개거래","서울 성북구","-"
"68","서울특별시 중랑구 상봉동","498","0498","0000","태영데시앙2(1411동)","84.6000","202604","29","81,500","-","11","개인","개인","2003","상봉중앙로8길 104","-","중개거래","서울 중랑구","-"
"69","서울특별시 성북구 정릉동","780","0780","0000","산장아파트가동,나동","52.8900","202604","29","30,000","-","2","개인","개인","1977","보국문로 167","-","중개거래","서울 성북구","-"
"70","서울특별시 중랑구 중화동","19","0019","0000","극동","84.1300","202604","29","58,200","-","4","개인","개인","1991","봉화산로27길 32","-","중개거래","서울 중랑구","-"
"71","서울특별시 성북구 정릉동","1029","1029","0000","정릉한일유앤아이","84.9900","202604","29","58,000","-","8","개인","개인","2006","보국문로37길 14-5","-","직거래","-","-"
"72","서울특별시 중랑구 상봉동","484","0484","0000","엘지,쌍용아파트","68.1200","202604","29","67,000","-","12","개인","개인","1996","봉화산로 130","-","중개거래","서울 중랑구","-"
"73","서울특별시 중랑구 묵동","164-4","0164","0004","묵동자이(1단지)","111.3200","202604","29","95,000","-","26","개인","개인","2010","숙선옹주로 6-9","-","중개거래","경기 고양시 덕양구, 서울 중랑구","-"
"74","서울특별시 중랑구 상봉동","499","0499","0000","건영캐스빌","84.6475","202604","29","85,800","-","5","개인","개인","2006","상봉중앙로8길 76","-","중개거래","서울 중랑구","-"
"75","서울특별시 중랑구 신내동","816","0816","0000","신내우디안1단지","84.9400","202604","29","81,000","-","19","개인","개인","2014","신내역로1길 85","-","중개거래","서울 중랑구","-"
"76","서울특별시 성북구 돈암동","639","0639","0000","돈암힐스테이트","84.7400","202604","29","93,000","-","6","개인","개인","2007","아리랑로 68","-","중개거래","서울 성북구","-"
"77","서울특별시 노원구 상계동","720","0720","0000","상계주공6(고층)","49.9400","202604","29","46,000","-","8","개인","개인","1988","노해로 508","-","직거래","-","-"
"78","서울특별시 노원구 상계동","765","0765","0000","상계주공1(고층)","41.3000","202604","29","47,000","-","11","개인","개인","1988","동일로213길 21","-","중개거래","서울 노원구","-"
"79","서울특별시 서대문구 홍은동","469","0469","0000","e편한세상서대문","39.9830","202604","29","52,000","-","12","개인","개인","2023","통일로 505","-","중개거래","인천 연수구","-"
"80","서울특별시 은평구 진관동","154","0154","0000","은평뉴타운 제각말 푸르지오(5-1단지)","101.8300","202604","29","88,500","-","2","개인","개인","2010","연서로48길 12","-","중개거래","서울 은평구","-"
"81","서울특별시 은평구 수색동","419","0419","0000","DMCSK뷰아이파크포레","76.6500","202604","29","127,000","-","17","개인","개인","2025","수색로 322","-","중개거래","서울 노원구, 서울 은평구","-"
"82","서울특별시 은평구 응암동","739","0739","0000","응암동금호","84.3000","202604","29","74,000","-","17","개인","개인","1998","응암로 318","-","중개거래","서울 은평구","-"
"83","서울특별시 서대문구 북아현동","1013","1013","0000","e편한세상신촌3단지","59.9700","202604","29","133,100","-","2","개인","개인","2018","북아현로 29","-","직거래","-","-"
"84","서울특별시 노원구 월계동","781","0781","0000","청백4","84.5400","202604","29","57,800","-","3","개인","개인","1998","월계로45가길 94","-","중개거래","서울 노원구","-"
"85","서울특별시 노원구 하계동","271-3","0271","0003","벽산","57.7100","202604","29","42,000","-","12","개인","개인","1988","섬밭로 229","-","직거래","-","-"
"86","서울특별시 도봉구 쌍문동","54","0054","0000","현대1","44.5500","202604","29","27,000","-","7","개인","개인","1990","해등로 242-12","-","중개거래","서울 도봉구","-"
"87","서울특별시 성북구 장위동","62-1","0062","0001","장위자이레디언트(4단지)","59.9700","202604","29","85,000","-","20","개인","개인","2025","돌곶이로30길 23","-","직거래","-","-"
"88","서울특별시 강서구 내발산동","756","0756","0000","마곡수명산파크7단지","84.8200","202604","29","101,000","-","13","개인","개인","2008","수명로2가길 22","-","중개거래","서울 강서구","-"
"89","서울특별시 강서구 공항동","1398","1398","0000","더트루엘마곡HQ","48.3293","202604","29","64,400","-","12","개인","법인","2024","공항대로 67","-","직거래","-","-"
"90","서울특별시 강서구 방화동","868","0868","0000","신안네트빌1단지","57.7467","202604","29","40,550","102","7","개인","개인","2002","양천로14길 37","-","직거래","-","26.04.29"
"91","서울특별시 강서구 화곡동","166-20","0166","0020","수정","52.7450","202604","29","16,000","-","5","개인","개인","2000","강서로18아길 22","-","중개거래","서울 강서구","-"
"92","서울특별시 강서구 등촌동","695","0695","0000","주공5","58.1400","202604","29","100,000","-","15","개인","개인","1995","공항대로39길 74","-","중개거래","서울 강서구","-"
"93","서울특별시 강서구 화곡동","1165","1165","0000","강서힐스테이트","59.9900","202604","29","135,000","-","9","개인","개인","2015","우현로 67","-","중개거래","서울 강서구","-"
"94","서울특별시 강서구 화곡동","980-21","0980","0021","강서아이파크","83.0770","202604","29","60,000","-","11","개인","개인","2005","화곡로 296","-","중개거래","서울 영등포구","-"
"95","서울특별시 강서구 화곡동","1145","1145","0000","우장산롯데캐슬","85.0000","202604","29","122,500","-","1","개인","개인","2003","공항대로 382","-","중개거래","서울 강서구","-"
"96","서울특별시 양천구 신월동","452-2","0452","0002","예담파크뷰","111.4100","202604","29","108,000","-","5","개인","개인","2026","국회대로 78","-","직거래","-","-"
"97","서울특별시 강서구 화곡동","1145","1145","0000","우장산롯데캐슬","134.9900","202604","29","142,000","-","1","개인","개인","2003","공항대로 382","-","중개거래","서울 강서구","-"
"98","서울특별시 마포구 서교동","487","0487","0000","대우미래사랑","34.2900","202604","29","29,500","-","3","개인","개인","2005","월드컵북로5나길 18","-","중개거래","서울 마포구","-"
"99","서울특별시 강서구 등촌동","687","0687","0000","등촌1,2단지주공아파트","41.8500","202604","29","70,000","-","7","개인","개인","1995","강서로68길 36","-","중개거래","서울 강서구","-"
"100","서울특별시 양천구 신월동","452-2","0452","0002","예담파크뷰","78.5000","202604","29","76,000","-","6","개인","개인","2026","국회대로 78","-","직거래","-","-"
"101","서울특별시 양천구 신정동","1020-3","1020","0003","제이월드","75.0676","202604","28","66,900","-","6","개인","개인","2001","은행정로4길 6","-","중개거래","서울 양천구","-"
"102","서울특별시 양천구 신정동","1259","1259","0000","신트리1","49.8000","202604","28","81,500","-","4","개인","개인","1999","신정로 293","-","중개거래","서울 양천구","-"
"103","서울특별시 마포구 염리동","532","0532","0000","마포프레스티지자이","42.9683","202604","28","155,000","-","13","개인","개인","2021","대흥로24길 24","-","중개거래","서울 마포구","-"
"104","서울특별시 마포구 상수동","396","0396","0000","상수두산위브","84.7900","202604","28","154,000","-","7","개인","개인","2004","독막로18길 5","-","중개거래","서울 마포구","-"
"105","서울특별시 양천구 신월동","1063","1063","0000","롯데캐슬","59.7470","202604","28","97,000","-","2","개인","개인","2014","중앙로29길 61","-","중개거래","서울 양천구","-"
"106","서울특별시 강서구 등촌동","687","0687","0000","등촌1,2단지주공아파트","41.8500","202604","28","66,000","-","2","개인","개인","1995","강서로68길 36","-","중개거래","서울 강서구","-"
"107","서울특별시 동대문구 장안동","329-3","0329","0003","래미안장안2차","64.8500","202604","28","115,000","-","14","개인","개인","2007","장안벚꽃로 167","-","중개거래","서울 동대문구","-"
"108","서울특별시 동대문구 청량리동","738","0738","0000","현대코아","139.9800","202604","28","95,000","-","6","개인","개인","1997","홍릉로 13","-","중개거래","서울 동대문구","-"
"109","서울특별시 동대문구 답십리동","808","0808","0000","대림","84.6600","202604","28","94,000","-","7","개인","개인","2003","답십리로60길 38","-","중개거래","서울 동대문구","-"
"110","서울특별시 중랑구 면목동","1073","1073","0000","용마한신2","59.8400","202604","28","69,500","-","3","개인","개인","1998","사가정로71길 11","-","중개거래","서울 중랑구","-"
"111","서울특별시 동대문구 답십리동","1000","1000","0000","래미안엘파인아파트","84.9000","202604","28","103,000","-","14","개인","개인","2011","한천로37길 33","-","중개거래","서울 동대문구","-"
"112","서울특별시 동대문구 답십리동","1003","1003","0000","래미안위브","121.6400","202604","28","175,000","-","8","개인","개인","2014","답십리로 130","-","중개거래","서울 동대문구","-"
"113","서울특별시 성북구 종암동","104-1","0104","0001","종암에스케이","114.7500","202604","28","105,000","-","24","개인","개인","1999","종암로24가길 53","-","중개거래","서울 성북구","-"
"114","서울특별시 성북구 하월곡동","225","0225","0000","래미안월곡","84.5890","202604","28","85,000","-","10","개인","개인","2006","오패산로 90","-","직거래","-","-"
"115","서울특별시 동대문구 장안동","354-2","0354","0002","래미안장안","84.7740","202604","28","118,000","107","17","개인","개인","2003","장한로14길 81","-","중개거래","서울 동대문구","26.04.28"
"116","서울특별시 동대문구 장안동","336","0336","0000","장안현대홈타운(336)","112.7800","202604","28","120,000","-","2","개인","개인","2003","장안벚꽃로 107","-","중개거래","서울 동대문구","-"
"117","서울특별시 중랑구 신내동","657","0657","0000","신내9진흥","39.8400","202604","28","35,000","-","4","개인","개인","1996","신내로 127","-","중개거래","서울 중랑구","-"
"118","서울특별시 관악구 봉천동","1568-1","1568","0001","서울대입구한양아이클래스","15.9600","202604","28","18,000","-","11","개인","개인","2018","쑥고개로 123","-","중개거래","경기 용인시 수지구","-"
"119","서울특별시 관악구 봉천동","1701","1701","0000","건영6","49.2100","202604","28","60,000","-","8","개인","개인","1999","관악로 133","-","직거래","-","-"
"120","서울특별시 관악구 신림동","1735","1735","0000","관악산휴먼시아2단지","84.9700","202604","28","72,000","-","14","개인","개인","2008","난곡로 55","-","중개거래","서울 관악구","-"
"121","서울특별시 관악구 신림동","1703-1","1703","0001","LIG대학마을(건영아파트3차)","58.9000","202604","28","59,500","-","13","개인","개인","1996","신림로3길 40","-","중개거래","서울 관악구","-"
"122","서울특별시 동작구 신대방동","395-66","0395","0066","보라매삼성쉐르빌","163.8300","202604","28","149,000","-","48","개인","개인","2003","보라매로5길 43","-","중개거래","서울 동작구","-"
"123","서울특별시 동작구 사당동","147-29","0147","0029","이수자이","120.8100","202604","28","174,500","-","7","개인","개인","2010","사당로 300","-","중개거래","서울 동작구","-"
"124","서울특별시 서초구 방배동","1008-2","1008","0002","래미안방배아트힐(1008-2)","127.6100","202604","28","195,000","-","12","개인","개인","2004","남부순환로 2311-12","-","중개거래","서울 송파구","-"
"125","서울특별시 광진구 자양동","644","0644","0000","로얄동아","59.9100","202604","28","132,500","-","15","개인","개인","1999","뚝섬로52마길 56","-","중개거래","서울 광진구","-"
"126","서울특별시 성동구 옥수동","557","0557","0000","극동옥정","56.0400","202604","28","101,000","-","3","개인","개인","1998","한림말길 24","-","중개거래","서울 서초구, 서울 성동구","-"
"127","서울특별시 성동구 응봉동","276","0276","0000","서울숲리버그린동아아파트","84.8300","202604","28","172,000","-","12","개인","개인","2003","고산자로4길 34","-","중개거래","서울 성동구","-"
"128","서울특별시 강남구 역삼동","681-26","0681","0026","역삼동하나빌","52.3100","202604","28","70,000","-","7","개인","개인","2002","봉은사로 312","-","중개거래","경기 부천시 원미구","-"
"129","서울특별시 영등포구 양평동5가","76","0076","0000","양평한신","59.9400","202604","28","134,000","-","14","개인","개인","1996","양평로24길 9","-","중개거래","서울 영등포구","-"
"130","서울특별시 노원구 상계동","647","0647","0000","상계주공12(고층)","49.9400","202604","28","54,000","-","1","개인","개인","1988","한글비석로 530","-","중개거래","서울 노원구","-"
"131","서울특별시 은평구 응암동","759","0759","0000","백련산힐스테이트1차","59.9300","202604","28","83,500","-","10","개인","개인","2011","백련산로2길 19","-","중개거래","서울 은평구","-"
"132","서울특별시 은평구 응암동","769","0769","0000","녹번역e편한세상캐슬","99.7600","202604","28","163,000","-","4","개인","개인","2021","은평로 220","-","중개거래","서울 은평구","-"
"133","서울특별시 노원구 상계동","1293","1293","0000","불암현대","59.4000","202604","28","43,500","-","13","개인","개인","1999","덕릉로118길 29","-","중개거래","서울 노원구","-"
"134","서울특별시 노원구 상계동","647","0647","0000","상계주공12(고층)","66.5600","202604","28","72,600","-","3","개인","개인","1988","한글비석로 530","-","중개거래","서울 노원구","-"
"135","서울특별시 은평구 대조동","172-75","0172","0075","호림리슈리안","56.8300","202604","28","54,200","-","14","개인","개인","2018","서오릉로 102","-","중개거래","서울 은평구","-"
"136","서울특별시 은평구 응암동","759","0759","0000","백련산힐스테이트1차","59.6300","202604","28","78,500","-","2","개인","개인","2011","백련산로2길 19","-","중개거래","서울 은평구","-"
"137","서울특별시 은평구 응암동","769","0769","0000","녹번역e편한세상캐슬","59.9400","202604","28","123,000","-","8","개인","개인","2021","은평로 220","-","중개거래","서울 은평구","-"
"138","서울특별시 노원구 중계동","363-1","0363","0001","주공7","44.1000","202604","28","38,000","-","14","개인","개인","1993","한글비석로8길 42","-","중개거래","서울 노원구","-"
"139","서울특별시 노원구 중계동","358-2","0358","0002","주공4","45.7700","202604","28","43,650","-","9","개인","개인","1991","덕릉로76길 29","-","직거래","-","-"
"140","서울특별시 은평구 불광동","71-16","0071","0016","북한산대창센시티","84.7200","202604","28","68,000","-","14","개인","개인","2004","불광로 208","-","중개거래","서울 은평구","-"
"141","서울특별시 노원구 중계동","362-1","0362","0001","주공8","49.7200","202604","28","53,700","-","14","개인","개인","1993","한글비석로5길 62","-","중개거래","서울 노원구, 인천 연수구","-"
"142","서울특별시 은평구 진관동","25","0025","0000","구파발9단지래미안(916~928동)BL3-2","101.9900","202604","28","102,000","-","9","개인","개인","2010","진관3로 77","-","중개거래","서울 은평구","-"
"143","서울특별시 노원구 상계동","666","0666","0000","상계주공10(저층)","47.3400","202604","28","51,000","-","2","개인","개인","1988","노원로 564","-","중개거래","서울 노원구","-"
"144","서울특별시 노원구 상계동","695","0695","0000","대림","93.7500","202604","28","62,000","-","14","개인","개인","1988","동일로221길 22","-","직거래","-","-"
"145","서울특별시 노원구 상계동","1276","1276","0000","청암2단지","49.7700","202604","28","44,900","-","5","개인","개인","2001","덕릉로94가길 20","-","중개거래","서울 노원구","-"
"146","서울특별시 은평구 진관동","19","0019","0000","상림마을8단지롯데캐슬(810~820동)BL1-1","84.8400","202604","28","88,000","-","2","개인","개인","2008","진관4로 17","-","중개거래","서울 은평구","-"
"147","서울특별시 노원구 월계동","775","0775","0000","대우","99.9800","202604","28","73,000","-","12","개인","개인","1998","초안산로5길 22","-","중개거래","서울 노원구","-"
"148","서울특별시 노원구 월계동","436","0436","0000","동신","71.7700","202604","28","83,500","-","3","개인","개인","1983","광운로2나길 30","-","중개거래","서울 노원구","-"
"149","서울특별시 도봉구 창동","807","0807","0000","쌍용","59.8800","202604","28","82,000","-","19","개인","개인","1997","마들로 551","-","중개거래","서울 도봉구","-"
"150","서울특별시 노원구 월계동","781","0781","0000","청백4","84.5400","202604","28","62,300","-","4","개인","개인","1998","월계로45가길 94","-","중개거래","서울 노원구","-"
"151","서울특별시 성북구 석관동","10","0010","0000","두산","134.9700","202604","28","99,000","-","2","개인","개인","1998","화랑로48길 16","-","중개거래","서울 성북구","-"
"152","서울특별시 노원구 공릉동","590-1","0590","0001","현대(고려)아파트","59.2800","202604","28","48,500","-","4","개인","개인","1999","동일로176길 39-12","-","중개거래","서울 노원구","-"
"153","서울특별시 도봉구 창동","26","0026","0000","동아","89.4500","202604","27","103,000","-","8","개인","개인","1988","노해로70길 12","-","중개거래","서울 도봉구","-"
"154","서울특별시 도봉구 도봉동","641","0641","0000","서원","49.0700","202604","27","36,000","-","17","개인","개인","1996","마들로 684-19","-","중개거래","서울 도봉구","-"
"155","서울특별시 강북구 미아동","1369","1369","0000","꿈의숲해링턴플레이스","59.8800","202604","27","72,000","-","1","개인","개인","2019","오현로 45","-","중개거래","서울 성북구","-"
"156","서울특별시 강북구 미아동","813","0813","0000","래미안트리베라1단지","84.9700","202604","27","104,000","-","14","개인","개인","2010","삼양로19길 25","-","중개거래","서울 강북구","-"
"157","서울특별시 노원구 하계동","280","0280","0000","미성","72.1700","202604","27","75,000","-","5","개인","개인","1989","공릉로59길 28","-","중개거래","서울 노원구","-"
"158","서울특별시 노원구 공릉동","748","0748","0000","신도1차아파트","131.7554","202604","27","90,500","-","15","개인","개인","2002","동일로191가길 59","-","중개거래","서울 노원구","-"
"159","서울특별시 용산구 한강로3가","98","0098","0000","센트럴파크","114.8905","202604","27","350,000","-","21","개인","개인","2020"," ","-","중개거래","서울 용산구","-"
